OBJECTID,ID,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,ObservationDate_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_baseline,LocationNotes,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials_2023,ObservationDate_2023,Editor,SHADE,ORNAMENTAL,EVERGREEN,LONGITUDE,LATITUDE,POINT_X,POINT_Y,Scientific.Name,geometry,FORESTER
329,11092,Colorado Spruce,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,in parking area near south bridge st,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,0,0,1,172255.9831,883928.6383,NA,NA,Picea pungens,,CP
330,11093,Colorado Spruce,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,in parking area near south bridge st,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,0,0,1,172259.6546,883934.2205,NA,NA,Picea pungens,,CP
332,11108,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,10.5,NA,Alive,Y,4,Poor,,in parking area,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172221.2815,883958.8484,-71.8363839,42.20558628,Gleditsia triacanthos,,CP
333,11160,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.3,1,NA,,7.5,2.95,Alive,N,1,Good,,in parking area,MP,INST,4,40,NA,NA,9.7,9.5,Alive,N,2,Good,Seems very small for 12 yo tree. Between parking lot and track behind fence,NA,9/14/2023,JaAndrews_clarku,1,0,0,172245.5378,883962.3094,-71.83609034,42.2056183,Tilia cordata,,CP
334,11161,Pin Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,along south bridge st-CHANGED FROM EB,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172345.8739,883962.5231,NA,NA,Quercus palustris,,CP
335,11141,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,behind bleachers,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172228.9927,883986.51,NA,NA,Tilia cordata,,CP
336,11142,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.2,4.5,NA,,9.5,3.55,Alive,Y,1,Good,4.4 to impervious surface,behind bleachers,MP,INST,6,54,NA,NA,15.7,14,Alive,N,1,Good,Behind fence next to playground ,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172228.1018,883993.5536,-71.83630297,42.20589898,Tilia cordata,,CP
337,11140,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.3,4.5,NA,,10,3.35,Alive,N,1,Good,,behind bleachers,MP,INST,6,54,NA,NA,17.5,13,Alive,N,1,Good,But of a lean,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172223.3114,883998.2412,-71.8363612,42.20594101,Tilia cordata,,CP
338,11158,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.35,4.5,NA,,10,3.55,Alive,N,1,Good,5 ft from impervious surface,in parking area,MP,INST,8,54,NA,NA,25.2,19.5,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172197.4563,883998.6876,-71.83667431,42.20594411,Tilia cordata,,CP
339,11159,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.5,4.5,NA,,10.5,3.95,Alive,N,1,Good,,in parking area,MP,INST,10,48,NA,NA,27.9,24,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172188.944,884009.4184,-71.8367779,42.20604041,Tilia cordata,,CP
340,11090,Beech,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,0.2,4.5,NA,,6,3.5,Alive,N,4,Poor,"Trunk damage, few remaining leaves",along south bridge st,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK,9/13/2023,JaAndrews_clarku,1,0,0,172417.6549,884037.1737,-71.83400968,42.20629839,Fagus sylvatica,,CP
341,11112,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.15,4.5,NA,,13,4.3,Alive,Y,1,Fair,,front of building on lt side across rd-CHANGED FROM TT,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172209.6652,884039.7197,-71.83652843,42.20631395,Gleditsia triacanthos,,CP
342,11110,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.2,4.5,NA,,11.5,5,Alive,N,1,Good,,front of building on lt side-CHANGED FROM TT,MP,INST,4,54,NA,NA,20.5,18.5,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172132.4121,884043.6144,-71.83746411,42.20634627,Gleditsia triacanthos,,CP
343,11124,Hornbeam,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.55,1,NA,,8,0.85,Alive,N,4,Poor,girdling,near bleachers,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172233.2723,884046.1884,-71.83624287,42.20637303,Carpinus betulus,,CP
344,11113,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,11,1,Alive,Y,4,Poor,,front of building on lt side across rd-CHANGED FROM TT,MP,INST,2.5,54,NA,NA,12.5,13.5,Alive,N,2,Fair,Small for a 13 yo tree,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172173.2517,884047.6189,-71.83696976,42.20638378,Gleditsia triacanthos,,CP
345,11123,Hornbeam,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,near bleachers,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172238.3653,884047.9791,NA,NA,Carpinus betulus,,CP
346,11114,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,front of building on lt side across rd-CHANGED FROM TT,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172175.0705,884053.5328,NA,NA,Gleditsia triacanthos,,CP
347,11122,Hornbeam,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,near bleachers,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172237.7278,884054.7009,NA,NA,Carpinus betulus,,CP
348,11109,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.2,4.5,NA,,13,6.15,Alive,Y,1,Good,,front of building on lt side-CHANGED FROM TT,MP,INST,5.5,54,NA,NA,22,20.5,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172139.9261,884054.8438,-71.83737366,42.20644764,Gleditsia triacanthos,,CP
350,11115,Hornbeam,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA,,NA,,NA,NA,Standing Dead,N,NA,,,along AUBURN st,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK,9/13/2023,JaAndrews_clarku,1,0,0,172426.4409,884055.6279,-71.83390416,42.20646484,Carpinus betulus,,CP
353,11118,Hornbeam,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,0.8,4.5,NA,,7.5,2.92,Alive,N,1,Fair,Browning leaves,along AUBURN st,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK,9/13/2023,JaAndrews_clarku,1,0,0,172423.2982,884062.6551,-71.83394255,42.206528,Carpinus betulus,,CP
354,11155,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.2,1,NA,,9,1.9,Alive,N,1,Good,,in back parking lot,MP,INST,7,54,NA,NA,19.5,18,Alive,Y,1,Fair,Lots of basal sprouts. Closer of two lindens next to parking lot to road,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172058.5598,884064.2867,-71.83835941,42.20652975,Tilia cordata,,CP
355,11117,Hornbeam,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,0.7,4.5,NA,,7,3.125,Alive,N,2,Poor,,along AUBURN st,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK,9/13/2023,JaAndrews_clarku,1,0,0,172422.3185,884066.9239,-71.83395461,42.2065664,Carpinus betulus,,CP
356,11116,Hornbeam,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA,,NA,,NA,NA,Standing Dead,N,NA,,,along AUBURN st,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK,9/13/2023,JaAndrews_clarku,1,0,0,172419.5968,884070.6241,-71.83398775,42.20659961,Carpinus betulus,,CP
357,11099,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,10,5.75,Alive,N,1,Good,,front of building on rt side somewhat against building,MP,INST,2.8,44,NA,NA,17.8,14,Alive,N,1,Good,Seems small for a 13 year old tree,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172178.6939,884150.2861,-71.83690876,42.20730828,Gleditsia triacanthos,,CP
358,11151,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,1,NA,,9,3.75,Alive,N,1,Good,5.2 to impervious surface,front of building behind baseball field,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172215.8353,884158.8869,-71.83645941,42.20738703,Tilia cordata,,CP
359,11101,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.35,4.5,NA,,11.5,7.5,Alive,N,1,Good,,front of building on rt side somewhat against building,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172180.8407,884159.2698,-71.8368832,42.20738924,Gleditsia triacanthos,,CP
360,11149,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.5,1,NA,,9.5,3.25,Alive,N,1,Good,,front of building behind baseball field,MP,INST,3.1,54,NA,NA,11.4,8,Alive,N,1,Fair,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172210.357,884161.0739,-71.83652585,42.20740653,Tilia cordata,,CP
362,11150,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.1,4.5,NA,,9,3.15,Alive,N,1,Good,,front of building behind baseball field,MP,INST,3.7,54,NA,NA,11.9,7.5,Alive,N,3,Fair,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172212.3197,884165.775,-71.83650231,42.20744892,Tilia cordata,,CP
363,11103,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,front of building on rt side somewhat against building,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172182.1102,884167.8974,NA,NA,Gleditsia triacanthos,,CP
364,11102,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,replaced with cherry,front of building on rt side somewhat against building,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172180.5802,884177.9235,NA,NA,Gleditsia triacanthos,,CP
366,11104,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.3,4.5,NA,,14,7.15,Alive,N,1,Good,5.4 ft to impervious surface,in back parking lot next to building,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172136.9762,884186.4357,-71.83741568,42.20763225,Gleditsia triacanthos,,CP
367,11100,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,Replaced with Linden,front of building on rt side somewhat against building,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172179.5873,884187.1455,NA,NA,Gleditsia triacanthos,,CP
368,11147,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,between memorail and stream along rd,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172363.3283,884189.0131,NA,NA,Tilia cordata,,CP
369,11154,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.25,4.5,NA,,10,4.35,Alive,N,1,Good,,front of building on rt side in triangle,MP,INST,6.5,44,,NA,21.2,16,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172195.3691,884190.1802,-71.83670874,42.20766804,Tilia cordata,,CP
371,11148,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,9,3.5,Alive,N,1,Fair,"Leaning, root damage",between memorail and stream along rd,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172358.9821,884197.732,-71.8347278,42.20774183,Tilia cordata,,CP
372,11152,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,9,3,Alive,N,1,Good,,front of building on rt side in triangle,MP,INST,4.65,54,,NA,17.8,10.5,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172199.465,884198.6929,-71.83665955,42.20774482,Tilia cordata,,CP
374,11170,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172130.5132,884217.1042,NA,NA,Quercus coccinea,,CP
375,11144,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.1,4.5,NA,,10,2.92,Alive,N,1,Fair,,between memorail and sign at front entrance,MP,INST,,,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172334.4059,884225.532,-71.83502673,42.20799124,Tilia cordata,,CP
377,11179,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172133.7073,884226.7688,NA,NA,Quercus coccinea,,CP
378,11145,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,11,3.33,Alive,N,1,Fair,Weed whacker damage,between memorail and sign at front entrance,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172327.1332,884232.2451,-71.83511512,42.20805142,Tilia cordata,,CP
379,11177,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172136.6109,884235.2672,NA,NA,Quercus coccinea,,CP
381,11143,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.4,4.5,NA,,10.5,3.58,Alive,N,1,Good,Insect leaf damage,between memorail and sign at front entrance,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,Nearby linden is much too large to be from fall 2011,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172318.7067,884238.4586,-71.83521746,42.20810706,Tilia cordata,,CP
383,11180,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172140.1265,884246.2432,NA,NA,Quercus coccinea,,CP
384,11146,Littleleaf Linden,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.1,4.5,NA,,9.75,2.79,Alive,N,1,Fair,"Holes in leaves, wilted, root damage",between memorail and sign at front entrance,MP,INST,7.1,54,NA,NA,17.8,18,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172296.313,884253.1199,-71.83548934,42.20823827,Tilia cordata,,CP
385,11174,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172143.1862,884256.2078,NA,NA,Quercus coccinea,,CP
387,11181,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172146.863,884266.0471,NA,NA,Quercus coccinea,,CP
388,11178,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,1,NA,,10,2.65,Alive,N,1,Fair,Downslope of parking lot,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,3,54,NA,NA,10.3,12.5,Alive,N,2,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172149.2306,884272.8681,-71.8373638,42.20820237,Quercus coccinea,,CP
389,11175,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,1,NA,,9,2.05,Alive,N,1,Fair,Downslope of parking lot,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,3.5,54,NA,NA,15.3,14,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172151.8021,884283.4556,-71.83739014,42.2081491,Quercus coccinea,,CP
391,11184,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172155.044,884290.4466,NA,NA,Quercus coccinea,,CP
393,11176,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172158.6408,884294.4786,NA,NA,Quercus coccinea,,CP
394,11169,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172196.9826,884296.0655,NA,NA,Quercus coccinea,,CP
395,11173,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.2,1,NA,,7,4.4,Alive,N,1,Fair,Downslope of parking lot,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172190.0422,884298.1909,-71.83677841,42.20864027,Quercus coccinea,,CP
397,11183,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172163.3781,884300.8757,NA,NA,Quercus coccinea,,CP
398,11172,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,11,3.7,Alive,N,1,Fair,Insect damage; downslope of parking lot,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172183.4187,884301.5868,-71.83685879,42.20867061,Quercus coccinea,,CP
399,11182,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172176.1801,884304.0219,NA,NA,Quercus coccinea,,CP
400,11171,Scarlet Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,,No sign of tree,between wall on rt side of entrance and parking lot-16 along rd n lot,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172168.7391,884304.7423,NA,NA,Quercus coccinea,,CP
