OBJECTID,ID,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,ObservationDate_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_baseline,NOTES_baseline,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials_2023,EditDate,Editor,SHADE,ORNAMENTAL,EVERGREEN,LONGITUDE,LATITUDE,POINT_X,POINT_Y,Scientific.Name
38,1065,Sargent Cherry,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Front Yard,Single-Family,0.95,,0.65,,8.166666667,6.125,Alive,,1,Good, Weedwacker damage on lower trunk ,,FY,SFR-A,6,26,0,0,20.1,18.5,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,1,0,175640.0385,898143.3738,-71.79558035,42.33340203,Prunus sargentii
39,1086,Japanese Tree Lilac,ASHBURNHAM RD,6,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,1.5,,0,,11.41666667,5.458333333,Alive,,1,Good,  ,,SY,SFR-D,4.4,36,0,0,15.3,10,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,1,0,175572.8996,893560.9852,-71.79620191,42.29214551,Syringa reticulata
40,1087,Japanese Tree Lilac,ASHBURNHAM RD,10,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,2.9,,0,,16,9.041666667,Alive,,1,Good,  ,,SY,SFR-D,6.8,50,0,0,20.8,15,Alive,1,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,1,0,175532.7782,893568.9692,-71.79668876,42.29221613,Syringa reticulata
41,1088,Japanese Tree Lilac,ASHBURNHAM RD,10,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,2.8,,0,,16.83333333,7.583333333,Alive,,1,Good,  ,,SY,SFR-D,7.1,47,0,0,18,12.5,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,1,0,175534.7956,893559.6451,-71.7966639,42.29213225,Syringa reticulata
42,1089,Kousa Dogwood,ASHBURNHAM RD,10,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,1.1,,0,,8,7.791666667,Alive,,2,Good,  ,,BY,SFR-D,1.8,40,1.9,36,10,11.5,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,1,0,175519.0817,893573.5694,-71.79685503,42.29225712,Cornus kousa
43,1090,Sargent Cherry,ASHBURNHAM RD,10,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,1.1,3.67,0,,9,2.791666667,Alive,,2,Fair,Weed whacker damage and wounds on bark. Dieback on one big stem ,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AN RC CB,6/26/2023,ANelson_clarku,0,1,0,175522.4731,893551.0762,-71.79681296,42.29205472,Prunus sargentii
44,1091,Kousa Dogwood,ASHBURNHAM RD,22,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,2.5,,0,,12,11.83333333,Alive,,1,Good,  ,,FY,SFR-D,6.1,40,0,0,15,20.5,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,1,0,175459.1898,893548.1456,-71.7975802,42.29202635,Cornus kousa
45,1092,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,3,54,0,0,12.5,8,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175449.2224,893555.7326,-71.79770138,42.29209434,Abies concolor
46,1093,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,5.2,54,0,0,32,12.5,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175448.7935,893540.841,-71.79770595,42.29196026,Abies concolor
47,1094,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,3.1,54,0,0,14.1,9,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175448.7481,893551.7431,-71.79770697,42.29205841,Abies concolor
48,1095,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,2.5,54,0,0,10,7,Alive,0,2,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175448.3449,893548.2487,-71.79771171,42.29202694,Abies concolor
49,1096,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175448.4113,893544.6242,-71.79771075,42.29199431,Abies concolor
50,1097,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,4.8,54,0,0,14,11,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175449.7103,893559.1541,-71.79769561,42.29212516,Abies concolor
51,1098,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,ANCBRC,6/26/2023,racolon_clarku,0,0,1,175456.7035,893541.4437,-71.79761007,42.29196594,Abies concolor
52,1099,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,6/26/2014,Front Yard,Single-family,0,0,0,0,0,0,Standing Dead,N,0,0,  ,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175452.3531,893541.1438,-71.79766281,42.2919631,Abies concolor
53,1100,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,4.3,54,0,0,19,11,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175450.1137,893562.4424,-71.79769086,42.29215478,Abies concolor
54,1101,American Arborvitae,ASSUMPTION AVE,2,Worcester,Fall 2010,6/18/2015,Front Yard,Single-Family,0.93,,0,,7.166666667,3.083333333,Alive,No,1,Good," Lots of weeds around, some dead leaves ",,FY,SFR-D,2.4,54,1.4,54,11,5,Alive,0,1,Good,,CK AN RC,6/8/2023,CKluchman_clarku,0,0,1,175517.1787,895840.933,-71.79697384,42.31266977,Thuja occidentalis
55,1102,American Arborvitae,ASSUMPTION AVE,2,Worcester,Fall 2010,6/18/2015,Front Yard,Single-Family,0.47,,0,,5.333333333,2.958333333,Alive,No,1,Good," Weeds around,  some dead leaves ",,FY,SFR-D,3.6,54,1.7,54,13.5,7.5,Alive,0,1,Good,,CK AN RC,6/8/2023,CKluchman_clarku,0,0,1,175517.1528,895839.3523,-71.79697408,42.31265554,Thuja occidentalis
56,1103,American Arborvitae,ASSUMPTION AVE,2,Worcester,Fall 2010,6/18/2015,Front Yard,Single-Family,0.34,,0,,5.333333333,2.416666667,Alive,No,1,Good,"High brush around plant, a few yellowed leaves Weeds around and in tree ",,FY,SFR-D,3.6,54,0,0,8.6,6,Alive,0,1,Good,,CK AN RC,6/8/2023,CKluchman_clarku,0,0,1,175517.4699,895842.5062,-71.79697037,42.31268394,Thuja occidentalis
57,1104,Japanese Tree Lilac,ASSUMPTION AVE,2,Worcester,Fall 2010,6/17/2014,Back Yard,Single-family,1.43,4.5,0,0,12.5,6.25,Alive,N,1,Good,Vegetation surrounding tree  ,,BY,SFR-D,5,54,3.2,54,23.9,10.75,Alive,0,1,Good,growing under/around wires,CK AN RC,6/8/2023,CKluchman_clarku,0,1,0,175528.098,895812.3492,-71.79684018,42.31241278,Syringa reticulata
58,1105,Kousa Dogwood,ASSUMPTION AVE,2,Worcester,Fall 2010,6/17/2014,Back Yard,Single-family,1.21,4.5,0,0,9,5.92,Alive,N,1,Good,  ,,BY,SFR-D,4.6,27,0,0,13.6,11.25,Alive,0,1,Good,growing under wires,CK AN RC,6/8/2023,CKluchman_clarku,0,1,0,175520.4893,895811.3807,-71.79693243,42.31240382,Cornus kousa
59,1106,Sargent Cherry,ASSUMPTION AVE,2,Worcester,Fall 2010,6/17/2014,Back Yard,Single-family,2.39,4.5,0,0,12.33,5.625,Alive,N,1,Good,  ,,BY,SFR-D,9.7,35,0,0,21.3,16,Alive,1,1,Good,growing under/around wires,CK AN RC,6/8/2023,CKluchman_clarku,0,1,0,175524.1921,895811.2298,-71.79688751,42.31240258,Prunus sargentii
60,1107,White Fir,ASSUMPTION AVE,2,Worcester,Fall 2010,6/17/2014,Back Yard,Single-family,2.71,4.5,0,0,10,6.17,Alive,N,1,Good,  ,,BY,SFR-D,6.6,54,0,0,17.7,12,Alive,0,1,Good,,CK AN RC,6/8/2023,CKluchman_clarku,0,0,1,175514.8647,895812.0326,-71.79700068,42.31240951,Abies concolor
0,1108,White Fir,ASSUMPTION AVE,2,Worcester,,NA,Back Yard,Single-family,NA,,NA,,NA,NA,Alive,,,,  ,,BY,SFR-D,3.4,0,0,0,13.8,9.5,Alive,0,1,Good,,CK AN RC,6/8/2023,CKluchman_clarku,0,0,1,175531.4655,895811.4343,-71.79679929,42.31240465,Abies concolor
62,1109,Blackgum,BARBER AVE,299,Worcester,Fall 2010,6/25/2015,,Single-Family,0,,0,,0,0,,,,, Ask Katherine (DCR) A for all Barber Ave trees ,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,Heavily forested back of rock gym,KS AR,6/26/2023,KSmart_clarku,1,0,0,175503.6921,894090.6597,-71.79706348,42.29691193,Nyssa sylvatica
63,1110,Blackgum,BARBER AVE,299,Worcester,Fall 2010,6/25/2015,,Single-Family,0,,0,,0,0,,,,, Ask Katherine (DCR) A for all Barber Ave trees ,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,Heavily forested,AR KS,6/26/2023,ARichmondCrosset_clarku,1,0,0,175518.5018,894092.8367,-71.79688398,42.29693199,Nyssa sylvatica
64,1111,Blackgum,BARBER AVE,299,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,,AR KS,6/26/2023,ARichmondCrosset_clarku,1,0,0,175508.9926,894088.2949,-71.79699911,42.2968908,Nyssa sylvatica
65,1112,Blackgum,BARBER AVE,299,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,Heavily forested,AR KS,6/26/2023,ARichmondCrosset_clarku,1,0,0,175503.8648,894085.6726,-71.79706118,42.29686703,Nyssa sylvatica
66,1113,Blackgum,BARBER AVE,299,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,,AR KS AP NG,6/26/2023,ARichmondCrosset_clarku,1,0,0,175524.4612,894090.2004,-71.7968116,42.29690844,Nyssa sylvatica
67,1118,White Fir,BARNARD RD,113,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,1.4,,0,,7.5,5.041666667,Alive,,2,Fair," Top stem was cut, stem damage ",,BY,SFR-D,3.1,54,0,0,14.3,8.5,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175551.558,893449.4901,-71.796456,42.29114107,Abies concolor
68,1119,White Fir,BARNARD RD,113,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,2,,0,,11.5,5.541666667,Alive,,1,Good,  ,,BY,SFR-D,5.3,54,0,0,23.5,12.5,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175555.6291,893451.6691,-71.79640673,42.29116081,Abies concolor
69,1120,White Fir,BARNARD RD,113,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,1.5,,0,,8.5,5.166666667,Alive,,1,Good,  ,,BY,SFR-D,4.2,54,0,0,16.4,9,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,0,1,175559.5754,893454.22,-71.79635898,42.2911839,Abies concolor
70,1124,Kousa Dogwood,BARNARD RD,130,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,1.7,,0,,18.33333333,12.58333333,Alive,,1,Good,  ,,BY,SFR-D,6.5,20,0,0,15,18,Alive,0,1,Good,,AN RC CB,6/26/2023,ANelson_clarku,0,1,0,175466.6591,893481.9901,-71.79748683,42.291431,Cornus kousa
