OBJECTID,ID,OID_,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,Observation_Date_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_1,Comments_2,Comments_3,NOTES,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials,SHADE,ORNAMENTAL,EVERGREEN,EditDate,Editor,x,y,Scientific.Name
18,1024,242,Sargent Cherry,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,"CK, an, rc",0,1,0,6/8/2023,CKluchman_clarku,,,Prunus sargentii
19,1025,238,Sargent Cherry,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,"CK, an, rc",0,1,0,6/8/2023,CKluchman_clarku,,,Prunus sargentii
20,1026,243,White Fir,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,4,54,0,0,17.5,9.75,Alive,0,1,Good,"an unmanaged park, overgrown with plants and other trees","CK, an, rc",0,0,1,6/8/2023,CKluchman_clarku,,,Abies concolor
21,1027,239,White Fir,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,"CK, an, rc",0,0,1,6/8/2023,CKluchman_clarku,,,Abies concolor
22,1028,236,White Fir,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,"CK, an, rc",0,0,1,6/8/2023,CKluchman_clarku,,,Abies concolor
23,1050,275,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,1.55,,1.3,,10.08333333,6.125,Alive,N,1-25%,Good,,,,,SY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
24,1051,274,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/29/2015,,,0,,0,,0,0,,,,,,,,,SY,SFR-A,5.5,54,3.6,54,18.9,12.5,Alive,0,1,Good,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
25,1052,272,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,2.4,,1.2,,10.25,6.25,Alive,N,1-25%,Good,,,,,SY,SFR-A,3.8,54,5.2,54,18.9,12.5,Alive,0,1,Good,Bittersweet growing on it,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
26,1053,270,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,2.5,,1.55,,10,6.041666667,Alive,N,1-25%,Good,,,,,FY,SFR-A,5.5,54,3.6,54,18.9,12.5,Alive,0,1,Good,,AN AR JA,0,0,1,6/21/2023,ANelson_clarku,,,Thuja occidentalis
27,1054,273,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,1.65,,1.75,,10.16666667,5.666666667,Alive,N,1-25%,Good,,,,,SY,SFR-A,5.1,54,3.9,54,18.9,12.5,Alive,0,1,Good,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
28,1055,271,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,1.1,,1.6,,11,6.208333333,Alive,N,1-25%,Good,,,,,FY,SFR-A,5.1,54,3.9,54,18.9,12.5,Alive,0,1,Good,Bittersweet Vines growing on it,AN AR JA,0,0,1,6/21/2023,ANelson_clarku,,,Thuja occidentalis
29,1056,278,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,,Single-Family,0,,0,,0,0,,,,,,,,,BY,SFR-A,2.7,54,0,0,10.1,7,Alive,0,1,Good,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
30,1057,284,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,1.6,,0,,10,3.791666667,Alive,,1-25%,Good,,The pruning is abnormal,,,BY,SFR-A,6,54,0,0,15.6,10,Alive,0,1,Good,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
31,1058,277,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,2.1,,0,,11,4.5,Alive,,1-25%,Good,,The pruning is abnormal,,,BY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
32,1059,279,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,1.58,,0,,10,3.5,Alive,,1-25%,Good,,The pruning is abnormal,,,BY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
33,1060,282,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,1.8,,0,,10,3.958333333,Alive,,1-25%,Good,,The pruning is abnormal,,,BY,SFR-A,5.2,54,0,0,15.8,10,Alive,0,1,Good,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
34,1061,280,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,,Single-Family,0,,0,,0,0,,,,,,,,,BY,SFR-A,6,52,0,0,14.4,9.5,Alive,0,1,Good,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
35,1062,283,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,0.9,,0,,7,2.5,Alive,,1-25%,Good,,Smaller because planted under a big tree,,,BY,SFR-A,5.3,54,0,0,16.7,9.75,Alive,0,1,Good,,JA AN AR,0,0,1,6/21/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
36,1063,285,Ginkgo,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Front Yard,Single-Family,0.68,,0.59,,6,4.416666667,Alive,,1-25%,Good,,Not sure if 1063 or 1064 has been removed,,,FY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,JA AN AR,1,0,0,6/21/2023,ARichmondCrosset_clarku,,,Ginkgo biloba
37,1064,286,Ginkgo,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Front Yard,Single-Family,0,,0,,0,0,Removed/Missing,,,,,,,,FY,SFR-A,2.1,36,0,0,10.5,8.5,Alive,0,1,Good,,JA AN AR,1,0,0,6/21/2023,ARichmondCrosset_clarku,,,Ginkgo biloba
38,1065,281,Sargent Cherry,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Front Yard,Single-Family,0.95,,0.65,,8.166666667,6.125,Alive,,1-25%,Good,,Weedwacker damage on lower trunk,,,FY,SFR-A,6,26,0,0,20.1,18.5,Alive,0,1,Good,,JA AN AR,0,1,0,6/21/2023,ARichmondCrosset_clarku,,,Prunus sargentii
39,1086,310,Japanese Tree Lilac,ASHBURNHAM RD,6,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,1.5,,0,,11.41666667,5.458333333,Alive,,1-25%,Good,,,,,SY,SFR-D,4.4,36,0,0,15.3,10,Alive,0,1,Good,,AN RC CB,0,1,0,6/26/2023,ANelson_clarku,,,Syringa reticulata
40,1087,313,Japanese Tree Lilac,ASHBURNHAM RD,10,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,2.9,,0,,16,9.041666667,Alive,,1-25%,Good,,,,,SY,SFR-D,6.8,50,0,0,20.8,15,Alive,1,1,Good,,AN RC CB,0,1,0,6/26/2023,ANelson_clarku,,,Syringa reticulata
41,1088,308,Japanese Tree Lilac,ASHBURNHAM RD,10,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,2.8,,0,,16.83333333,7.583333333,Alive,,1-25%,Good,,,,,SY,SFR-D,7.1,47,0,0,18,12.5,Alive,0,1,Good,,AN RC CB,0,1,0,6/26/2023,ANelson_clarku,,,Syringa reticulata
42,1089,314,Kousa Dogwood,ASHBURNHAM RD,10,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,1.1,,0,,8,7.791666667,Alive,,26-50%,Good,,,,,BY,SFR-D,1.8,40,1.9,36,10,11.5,Alive,0,1,Good,,AN RC CB,0,1,0,6/26/2023,ANelson_clarku,,,Cornus kousa
43,1090,306,Sargent Cherry,ASHBURNHAM RD,10,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,1.1,3.67,0,,9,2.791666667,Alive,,26-50%,Fair,Weed whacker damage and wounds on bark.,Dieback on one big stem,,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AN RC CB,0,1,0,6/26/2023,ANelson_clarku,,,Prunus sargentii
44,1091,305,Kousa Dogwood,ASHBURNHAM RD,22,Worcester,Fall 2010,6/24/2015,Front Yard,Single-Family,2.5,,0,,12,11.83333333,Alive,,1-25%,Good,,,,,FY,SFR-D,6.1,40,0,0,15,20.5,Alive,0,1,Good,,AN RC CB,0,1,0,6/26/2023,ANelson_clarku,,,Cornus kousa
45,1092,496,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,3,54,0,0,12.5,8,Alive,0,1,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
46,1093,487,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,5.2,54,0,0,32,12.5,Alive,0,1,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
47,1094,494,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,3.1,54,0,0,14.1,9,Alive,0,1,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
48,1095,491,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,2.5,54,0,0,10,7,Alive,0,2,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
49,1096,489,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
50,1097,498,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,4.8,54,0,0,14,11,Alive,0,1,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
51,1098,488,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,Ancbrc,0,0,1,6/26/2023,racolon_clarku,,,Abies concolor
52,1099,303,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,6/26/2014,Front Yard,Single-family,0,0,0,0,0,0,Standing Dead,N,0,0,,,,,FY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
53,1100,500,White Fir,ASHBURNHAM RD,22,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,4.3,54,0,0,19,11,Alive,0,1,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
54,1101,320,American Arborvitae,ASSUMPTION AVE,2,Worcester,Fall 2010,6/18/2015,Front Yard,Single-Family,0.93,,0,,7.166666667,3.083333333,Alive,No,1-25%,Good,,"Lots of weeds around, some dead leaves",,,FY,SFR-D,2.4,54,1.4,54,11,5,Alive,0,1,Good,,"CK, an, rc",0,0,1,6/8/2023,CKluchman_clarku,,,Thuja occidentalis
55,1102,509,American Arborvitae,ASSUMPTION AVE,2,Worcester,Fall 2010,6/18/2015,Front Yard,Single-Family,0.47,,0,,5.333333333,2.958333333,Alive,No,1-25%,Good,,"Weeds around,  some dead leaves",,,FY,SFR-D,3.6,54,1.7,54,13.5,7.5,Alive,0,1,Good,,"CK, an, rc",0,0,1,6/8/2023,CKluchman_clarku,,,Thuja occidentalis
56,1103,321,American Arborvitae,ASSUMPTION AVE,2,Worcester,Fall 2010,6/18/2015,Front Yard,Single-Family,0.34,,0,,5.333333333,2.416666667,Alive,No,1-25%,Good,"High brush around plant, a few yellowed leaves",Weeds around and in tree,,,FY,SFR-D,3.6,54,0,0,8.6,6,Alive,0,1,Good,,"CK, an, rc",0,0,1,6/8/2023,CKluchman_clarku,,,Thuja occidentalis
57,1104,319,Japanese Tree Lilac,ASSUMPTION AVE,2,Worcester,Fall 2010,6/17/2014,Back Yard,Single-family,1.43,4.5,0,0,12.5,6.25,Alive,N,1-25%,Good,Vegetation surrounding tree,,,,BY,SFR-D,5,54,3.2,54,23.9,10.75,Alive,0,1,Good,growing under/around wires,"CK, an, rc",0,1,0,6/8/2023,CKluchman_clarku,,,Syringa reticulata
58,1105,316,Kousa Dogwood,ASSUMPTION AVE,2,Worcester,Fall 2010,6/17/2014,Back Yard,Single-family,1.21,4.5,0,0,9,5.92,Alive,N,1-25%,Good,,,,,BY,SFR-D,4.6,27,0,0,13.6,11.25,Alive,0,1,Good,growing under wires,"CK, an, rc",0,1,0,6/8/2023,CKluchman_clarku,,,Cornus kousa
59,1106,315,Sargent Cherry,ASSUMPTION AVE,2,Worcester,Fall 2010,6/17/2014,Back Yard,Single-family,2.39,4.5,0,0,12.33,5.625,Alive,N,1-25%,Good,,,,,BY,SFR-D,9.7,35,0,0,21.3,16,Alive,1,1,Good,growing under/around wires,"CK, an, rc",0,1,0,6/8/2023,CKluchman_clarku,,,Prunus sargentii
60,1107,318,White Fir,ASSUMPTION AVE,2,Worcester,Fall 2010,6/17/2014,Back Yard,Single-family,2.71,4.5,0,0,10,6.17,Alive,N,1-25%,Good,,,,,BY,SFR-D,6.6,54,0,0,17.7,12,Alive,0,1,Good,,"CK, an, rc",0,0,1,6/8/2023,CKluchman_clarku,,,Abies concolor
0,1108,0,White Fir,ASSUMPTION AVE,2,Worcester,,1899-12-30,Back Yard,Single-family,NA,,NA,,NA,NA,Alive,,,,,,,,BY,SFR-D,3.4,0,0,0,13.8,9.5,Alive,0,1,Good,,"CK, an, rc",0,0,1,6/8/2023,CKluchman_clarku,,,Abies concolor
62,1109,535,Blackgum,BARBER AVE,299,Worcester,Fall 2010,6/25/2015,,Single-Family,0,,0,,0,0,,,,,,Ask Katherine (DCR) A for all Barber Ave trees,,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,Heavily forested back of rock gym,KS AR,1,0,0,6/26/2023,KSmart_clarku,,,Nyssa sylvatica
63,1110,536,Blackgum,BARBER AVE,299,Worcester,Fall 2010,6/25/2015,,Single-Family,0,,0,,0,0,,,,,,Ask Katherine (DCR) A for all Barber Ave trees,,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,Heavily forested,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Nyssa sylvatica
64,1111,533,Blackgum,BARBER AVE,299,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Nyssa sylvatica
65,1112,532,Blackgum,BARBER AVE,299,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,Heavily forested,AR KS,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Nyssa sylvatica
66,1113,534,Blackgum,BARBER AVE,299,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Unknown,0,0,,,AR KS AP NG,1,0,0,6/26/2023,ARichmondCrosset_clarku,,,Nyssa sylvatica
67,1118,543,White Fir,BARNARD RD,113,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,1.4,,0,,7.5,5.041666667,Alive,,26-50%,Fair,,"Top stem was cut, stem damage",,,BY,SFR-D,3.1,54,0,0,14.3,8.5,Alive,0,1,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
68,1119,544,White Fir,BARNARD RD,113,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,2,,0,,11.5,5.541666667,Alive,,1-25%,Good,,,,,BY,SFR-D,5.3,54,0,0,23.5,12.5,Alive,0,1,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
69,1120,545,White Fir,BARNARD RD,113,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,1.5,,0,,8.5,5.166666667,Alive,,1-25%,Good,,,,,BY,SFR-D,4.2,54,0,0,16.4,9,Alive,0,1,Good,,AN RC CB,0,0,1,6/26/2023,ANelson_clarku,,,Abies concolor
70,1124,393,Kousa Dogwood,BARNARD RD,130,Worcester,Fall 2010,6/24/2015,Back Yard,Single-Family,1.7,,0,,18.33333333,12.58333333,Alive,,1-25%,Good,,,,,BY,SFR-D,6.5,20,0,0,15,18,Alive,0,1,Good,,AN RC CB,0,1,0,6/26/2023,ANelson_clarku,,,Cornus kousa
71,1150,448,Blackgum,BAY STATE RD,121,Worcester,Fall 2010,6/26/2014,Back Yard,Single-family,0,0,0,0,0,0,Removed/Missing,N,0,0,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,"RC, TH, NG",1,0,0,6/13/2023,THonnef_clarku,,,Nyssa sylvatica
72,1151,447,Dawn Redwood,BAY STATE RD,121,Worcester,Fall 2010,6/26/2014,Back Yard,Single-family,2.6,4.5,0,0,16,8.1,Alive,N,1-25%,Good,,,,,BY,SFR-D,10.2,54,0,0,25.1,23.5,Alive,0,2,Good,,"RC, TH, NG",0,0,1,6/13/2023,THonnef_clarku,,,Metasequoia glyptostroboides
73,1152,446,Dawn Redwood,BAY STATE RD,121,Worcester,Fall 2010,6/26/2014,Back Yard,Single-family,2.15,4.5,0,0,16,8.4,Alive,N,1-25%,Good,,,,,BY,SFR-D,12.4,44,0,0,25.9,25,Alive,0,1,Good,,"RC, TH, NG",0,0,1,6/13/2023,THonnef_clarku,,,Metasequoia glyptostroboides
74,1153,444,Dawn Redwood,BAY STATE RD,121,Worcester,Fall 2010,6/26/2014,Back Yard,Single-family,0,0,0,0,0,0,Removed/Missing,N,0,0,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,"RC, TH, NG",0,0,1,6/13/2023,THonnef_clarku,,,Metasequoia glyptostroboides
75,1163,684,Kousa Dogwood,BELLINGHAM RD,3,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,4.7,20,0,0,10.5,12.5,Alive,0,1,Good,,"AN, TH",0,1,0,6/14/2023,THonnef_clarku,,,Cornus kousa
76,1164,689,American Arborvitae,BELLINGHAM RD,5,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,3.8,54,1.9,54,15.5,5,Alive,0,1,Good,,AN AR,0,0,1,6/27/2023,ANelson_clarku,,,Thuja occidentalis
77,1165,687,American Arborvitae,BELLINGHAM RD,5,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,3.9,54,0,0,15.5,5,Alive,0,1,Good,,AN AR,0,0,1,6/27/2023,ARichmondCrosset_clarku,,,Thuja occidentalis
